,t,OF,OF_Hb,IF_Hb,S_in,IF_Hb_Sb,H_in,IF_Sb,OF_Sb,IF,OF_Hb_Sb
35,0.035002333488899265,4.6570494604535454e-09,4.679019383804271e-09,4.884788310534094e-09,0.000999973601443903,4.886747330385298e-08,1.0586108279375847e-07,4.618447180463034e-08,4.6547197736743295e-08,2.125e-08,2.125e-08
36,0.03600240016001067,4.655826970885225e-09,4.677736448176429e-09,4.885037789220661e-09,0.000999973622347185,4.8870016361162546e-08,1.0583763645462229e-07,4.6196136932116946e-08,4.653524549845676e-08,2.125e-08,2.125e-08
37,0.03700246683112208,4.6548009185451614e-09,4.676649435731034e-09,4.885189004084331e-09,0.000999973643289291,4.887156176398118e-08,1.0581514894574698e-07,4.620656994345302e-08,4.652522893422386e-08,2.125e-08,2.125e-08
38,0.03800253350223349,4.653945472946075e-09,4.6757316834613555e-09,4.885255343710393e-09,0.000999973664257534,4.8872244615779156e-08,1.0579349785111274e-07,4.62159285108324e-08,4.6516894373289185e-08,2.125e-08,2.125e-08
39,0.03900260017334489,4.653231469641886e-09,4.674954038525572e-09,4.885251554783162e-09,0.0009999736852372443,4.8872216369245344e-08,1.057725463872528e-07,4.622439208719297e-08,4.650995448062961e-08,2.125e-08,2.125e-08
40,0.0400026668444563,4.652643092749361e-09,4.674303249877638e-09,4.885185397268467e-09,0.000999973706220683,4.887155561084509e-08,1.0575222370696059e-07,4.623206174917486e-08,4.650425090010316e-08,2.125e-08,2.125e-08
41,0.041002733515567706,4.652168304465297e-09,4.673770221265441e-09,4.885062627959673e-09,0.000999973727201991,4.887032114712846e-08,1.0573247686256923e-07,4.623901557245315e-08,4.649966212674667e-08,2.125e-08,2.125e-08
42,0.042002800186679116,4.651780147380684e-09,4.673322852249035e-09,4.884897282812519e-09,0.0009999737481673693,4.8868654695849545e-08,1.0571317793556653e-07,4.6245417333569746e-08,4.649592768815735e-08,2.125e-08,2.125e-08
43,0.04300286685779053,4.651471575205656e-09,4.6729555492101e-09,4.8846926629786045e-09,0.0009999737691133842,4.886658932641153e-08,1.0569429729027998e-07,4.6251314148845264e-08,4.6492976737367986e-08,2.125e-08,2.125e-08
44,0.04400293352890193,4.651237042714433e-09,4.672662927202915e-09,4.884451401486493e-09,0.0009999737900372927,4.886415067891043e-08,1.0567581202918263e-07,4.625674344971161e-08,4.6490754499993626e-08,2.125e-08,2.125e-08
45,0.04500300020001334,4.651067542970384e-09,4.672435643214573e-09,4.8841779535924485e-09,0.0009999738109345332,4.886138404291668e-08,1.0565768142478309e-07,4.626176223116557e-08,4.64891725861603e-08,2.125e-08,2.125e-08
46,0.046003066871124744,4.650946589003577e-09,4.672257136044768e-09,4.8838806052260966e-09,0.0009999738317966952,4.885837627073818e-08,1.0563982703486746e-07,4.6266470753537057e-08,4.648806864547075e-08,2.125e-08,2.125e-08
47,0.047003133542236154,4.650873132473665e-09,4.672125278026177e-09,4.88355981022553e-09,0.000999973852623214,4.885513042433051e-08,1.0562224636272231e-07,4.627087791774132e-08,4.648743343722368e-08,2.125e-08,2.125e-08
48,0.04800320021334756,4.650841875222199e-09,4.672033721086058e-09,4.883218221672798e-09,0.0009999738734113286,4.8851673416166396e-08,1.0560491525612897e-07,4.6275016948752016e-08,4.648721581712173e-08,2.125e-08,2.125e-08
49,0.04900326688445897,4.650845747659493e-09,4.671977303032368e-09,4.882859401057566e-09,0.0009999738941577805,4.8848041620549736e-08,1.0558780059970189e-07,4.6278931696532e-08,4.648734423119033e-08,2.125e-08,2.125e-08
50,0.05000333355557038,4.650879395006262e-09,4.671950423894524e-09,4.8824861061495375e-09,0.0009999739148599134,4.884426307040253e-08,1.0557087701709556e-07,4.628265483814637e-08,4.64877661664225e-08,2.125e-08,2.125e-08
51,0.05100340022668178,4.650936918882265e-09,4.671947451081375e-09,4.88210141796613e-09,0.0009999739355148805,4.884036910805362e-08,1.0555411601226967e-07,4.628622186452288e-08,4.648842323951555e-08,2.125e-08,2.125e-08
52,0.05200346689779319,4.651016568602215e-09,4.6719663660307806e-09,4.881706350693275e-09,0.0009999739561220942,4.883637005402832e-08,1.0553750785276756e-07,4.628964220061435e-08,4.648929846005285e-08,2.125e-08,2.125e-08
